                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.42046,                0.25159,                0.80932,                0.99451,                0.97365,                0.99329,                0.95168,                0.29698,                0.19114,                0.78937,              0.0091882,              0.0091882,              0.0091882
                     85,                0.42547,                0.25622,                0.80961,                0.99396,                0.97516,                0.99335,                 0.9479,                0.30529,                0.19598,                0.79151,              0.0091783,              0.0091783,              0.0091783
                     86,                0.42532,                0.25173,                0.80988,                0.99396,                0.97743,                0.99331,                0.94971,                0.29523,                0.18954,                0.78812,              0.0091684,              0.0091684,              0.0091684
                     87,                0.42059,                0.24933,                0.81087,                0.99383,                0.97731,                0.99338,                0.94915,                0.30834,                0.19088,                0.79228,              0.0091585,              0.0091585,              0.0091585
                     88,                0.42586,                0.25428,                0.81002,                0.99371,                0.97428,                0.99249,                0.94644,                0.31697,                0.20009,                 0.7945,              0.0091486,              0.0091486,              0.0091486
                     89,                0.42185,                0.25147,                0.80965,                0.99435,                0.97637,                0.99337,                0.95253,                0.29066,                0.18847,                0.78839,              0.0091387,              0.0091387,              0.0091387
                     90,                0.42071,                 0.2515,                0.80933,                0.99512,                 0.9768,                0.99361,                 0.9527,                 0.2941,                0.18533,                0.78869,              0.0091288,              0.0091288,              0.0091288
                     91,                0.42331,                0.24881,                0.80894,                0.99512,                0.97652,                0.99371,                0.95532,                0.28729,                0.18427,                0.78903,              0.0091189,              0.0091189,              0.0091189
                     92,                0.41786,                0.25302,                0.80764,                0.99309,                0.97453,                0.99325,                0.94744,                0.30696,                0.19394,                0.79185,               0.009109,               0.009109,               0.009109
                     93,                0.41819,                0.25023,                0.80961,                0.99576,                0.97662,                0.99358,                 0.9538,                0.28578,                0.18452,                0.79099,              0.0090991,              0.0090991,              0.0090991
                     94,                0.42094,                0.24996,                0.80834,                0.99593,                0.97479,                0.99351,                0.95314,                0.28867,                0.18512,                0.78896,              0.0090892,              0.0090892,              0.0090892
                     95,                  0.419,                0.24854,                0.80902,                0.99461,                0.97683,                0.99367,                0.95654,                0.28403,                0.18312,                0.78714,              0.0090793,              0.0090793,              0.0090793
                     96,                 0.4168,                  0.253,                0.80982,                 0.9955,                0.97602,                0.99367,                0.95377,                0.28977,                0.18535,                0.78731,              0.0090694,              0.0090694,              0.0090694
                     97,                0.42241,                0.24535,                0.80927,                 0.9937,                0.97731,                0.99366,                0.95487,                0.28997,                0.18378,                0.78911,              0.0090595,              0.0090595,              0.0090595
                     98,                 0.4156,                0.25148,                0.80839,                0.99614,                0.97519,                0.99365,                0.95362,                0.28668,                0.18508,                0.78871,              0.0090496,              0.0090496,              0.0090496
                     99,                0.41608,                0.24548,                0.80855,                0.99543,                0.97554,                0.99359,                0.95477,                 0.2901,                0.18499,                0.78913,              0.0090397,              0.0090397,              0.0090397
                    100,                0.41693,                 0.2456,                 0.8078,                0.99236,                0.96823,                0.99198,                0.94738,                0.29844,                0.19379,                0.78875,              0.0090298,              0.0090298,              0.0090298
                    101,                0.41706,                0.24654,                 0.8089,                0.99613,                0.97327,                0.99294,                0.95523,                0.28714,                 0.1842,                0.78961,              0.0090199,              0.0090199,              0.0090199
                    102,                 0.4133,                0.24628,                0.80778,                0.99524,                0.97542,                0.99382,                0.95356,                0.28858,                0.18331,                0.78809,                0.00901,                0.00901,                0.00901
                    103,                 0.4136,                0.24878,                 0.8082,                0.99355,                0.97705,                0.99322,                0.95081,                0.29454,                0.18695,                0.78995,              0.0090001,              0.0090001,              0.0090001
                    104,                0.41679,                0.24551,                0.80912,                0.99315,                0.97416,                0.99324,                0.95137,                0.29397,                0.18474,                0.78667,              0.0089902,              0.0089902,              0.0089902
                    105,                0.41283,                 0.2462,                0.80775,                0.99396,                0.97441,                0.99328,                0.95089,                0.29467,                 0.1904,                0.78898,              0.0089803,              0.0089803,              0.0089803
                    106,                0.41235,                0.24867,                0.80803,                0.99716,                0.97416,                0.99364,                0.95558,                0.28567,                0.18095,                0.78821,              0.0089704,              0.0089704,              0.0089704
                    107,                0.41533,                0.24618,                0.80683,                0.99461,                 0.9764,                0.99386,                0.95189,                0.29492,                0.18553,                 0.7891,              0.0089605,              0.0089605,              0.0089605
                    108,                 0.4129,                0.24568,                0.80909,                0.99541,                 0.9763,                 0.9935,                0.95372,                0.28973,                0.18152,                0.78911,              0.0089506,              0.0089506,              0.0089506
                    109,                0.41217,                0.24499,                0.80781,                0.99382,                0.97756,                0.99374,                0.95256,                0.28849,                0.18505,                0.78892,              0.0089407,              0.0089407,              0.0089407
                    110,                0.41627,                0.24729,                0.80752,                0.99377,                0.97567,                0.99371,                0.94957,                0.30317,                0.19036,                0.79057,              0.0089308,              0.0089308,              0.0089308
                    111,                0.41196,                 0.2459,                0.80748,                0.99499,                0.97555,                0.99381,                0.95528,                0.28304,                0.17987,                0.78818,              0.0089209,              0.0089209,              0.0089209
                    112,                0.41075,                0.24176,                0.80787,                0.99708,                0.97554,                0.99395,                0.95627,                0.27662,                0.17859,                0.78759,               0.008911,               0.008911,               0.008911
                    113,                0.41435,                0.24423,                0.80864,                0.99485,                0.97617,                0.99385,                0.95513,                0.28249,                0.18062,                0.78812,              0.0089011,              0.0089011,              0.0089011
                    114,                0.41018,                0.24302,                 0.8076,                 0.9954,                0.97655,                0.99375,                0.95649,                0.28206,                0.17878,                0.78716,              0.0088912,              0.0088912,              0.0088912
                    115,                  0.407,                0.24643,                0.80751,                0.99563,                 0.9757,                0.99372,                0.95458,                0.28775,                0.18291,                0.78821,              0.0088813,              0.0088813,              0.0088813
                    116,                0.40886,                0.24393,                0.80734,                 0.9922,                0.97814,                0.99364,                0.95555,                0.28457,                0.18113,                0.78883,              0.0088714,              0.0088714,              0.0088714
                    117,                0.41306,                0.24224,                0.80725,                0.99407,                0.97705,                0.99369,                0.95393,                0.28489,                0.17998,                0.78525,              0.0088615,              0.0088615,              0.0088615
                    118,                 0.4105,                0.24421,                0.80862,                0.99346,                0.97945,                0.99392,                0.95845,                0.27527,                0.17712,                0.78659,              0.0088516,              0.0088516,              0.0088516
                    119,                0.40908,                0.24374,                0.80708,                0.99553,                 0.9763,                0.99362,                0.95809,                0.27689,                0.17686,                0.78448,              0.0088417,              0.0088417,              0.0088417
                    120,                  0.407,                0.24589,                0.80761,                0.99506,                0.97769,                 0.9938,                0.95734,                0.27603,                0.17877,                0.78628,              0.0088318,              0.0088318,              0.0088318
                    121,                0.40736,                0.24073,                0.80745,                0.99459,                 0.9768,                0.99367,                0.95542,                0.28146,                0.18071,                0.78787,              0.0088219,              0.0088219,              0.0088219
                    122,                0.40856,                0.24395,                0.80735,                0.99384,                0.97642,                0.99346,                0.95482,                0.27824,                0.17862,                0.78517,               0.008812,               0.008812,               0.008812
                    123,                 0.4072,                0.24333,                0.80678,                0.99509,                0.97605,                0.99361,                0.95639,                0.28406,                0.17793,                0.78899,              0.0088021,              0.0088021,              0.0088021
                    124,                0.41017,                0.24296,                0.80785,                0.99523,                0.97655,                0.99363,                0.95844,                 0.2732,                0.17506,                0.78685,              0.0087922,              0.0087922,              0.0087922
                    125,                0.40835,                0.24063,                0.80695,                0.99389,                0.97819,                0.99376,                0.95753,                0.27591,                0.17722,                 0.7851,              0.0087823,              0.0087823,              0.0087823
